"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA0033.2",8.6788904584786e-06,0.425037885811298,0.592,0.478,0.00647445228202504,0.114,"MA0033.2","FOXL1"
"MA0848.1",8.6788904584786e-06,0.425037885811298,0.592,0.478,0.00647445228202504,0.114,"MA0848.1","FOXO4"
"MA0849.1",8.6788904584786e-06,0.425037885811298,0.592,0.478,0.00647445228202504,0.114,"MA0849.1","FOXO6"
"MA0850.1",8.6788904584786e-06,0.425037885811298,0.592,0.478,0.00647445228202504,0.114,"MA0850.1","FOXP3"
"MA1114.1",1.01575492509443e-05,-0.459454565464349,0.488,0.654,0.00757753174120443,-0.166,"MA1114.1","PBX3"
"MA0713.1",1.58705693001544e-05,0.624034466224672,0.544,0.39,0.0118394446979152,0.154,"MA0713.1","PHOX2A"
"MA0036.3",1.61343806454967e-05,0.470613319674913,0.768,0.627,0.0120362479615406,0.141,"MA0036.3","GATA2"
"MA0814.2",1.62848559849641e-05,-0.719446726121053,0.24,0.378,0.0121485025647832,-0.138,"MA0814.2","TFAP2C(var.2)"
"MA0502.2",1.66705207140795e-05,-3.02712545461115,0.168,0.31,0.0124362084527033,-0.142,"MA0502.2","NFYB"
"MA0823.1",1.70388682066273e-05,-0.350602575461013,0.568,0.693,0.012710995682144,-0.125,"MA0823.1","HEY1"
"MA1153.1",1.98263440483434e-05,1.2482657377098,0.336,0.214,0.0147904526600642,0.122,"MA1153.1","Smad4"
"MA0810.1",2.03442002367167e-05,3.40247216900776,0.168,0.112,0.0151767733765906,0.056,"MA0810.1","TFAP2A(var.2)"
"MA1584.1",2.75047766162024e-05,0.423774206902145,0.816,0.631,0.020518563355687,0.185,"MA1584.1","ZIC5"
"MA1483.1",3.21077754076988e-05,-0.00424281166023643,1,0.985,0.0239524004541433,0.015,"MA1483.1","ELF2"
"MA0674.1",3.80508106293756e-05,0.675179949372812,0.464,0.333,0.0283859047295142,0.131,"MA0674.1","NKX6-1"
"MA1519.1",3.80508106293756e-05,0.675179949372812,0.464,0.333,0.0283859047295142,0.131,"MA1519.1","LHX5"
