"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA1573.1",0.032105587502913,-0.247075820379646,0.349,0.363,1,-0.014,"MA1573.1","THAP11"
"MA0632.2",0.0329544290099923,0.22484415585275,0.456,0.35,1,0.106,"MA0632.2","TCFL5"
"MA1507.1",0.0334895763618297,-0.521379250529714,0.301,0.432,1,-0.131,"MA1507.1","HOXD4"
"MA0474.2",0.0338422735362412,0.206811401275193,0.805,0.714,1,0.0910000000000001,"MA0474.2","ERG"
"MA0906.1",0.0343468020497268,-0.545210585782874,0.287,0.393,1,-0.106,"MA0906.1","HOXC12"
"MA0905.1",0.0354528681281527,-0.59076583605689,0.298,0.397,1,-0.099,"MA0905.1","HOXC10"
"MA0861.1",0.0356593403090433,-0.306603993265943,0.375,0.453,1,-0.078,"MA0861.1","TP73"
"MA0724.1",0.0359501403709159,0.338821639792571,0.658,0.517,1,0.141,"MA0724.1","VENTX"
"MA0072.1",0.037451400046321,-2.90056419597423,0.162,0.218,1,-0.056,"MA0072.1","RORA(var.2)"
"MA1637.1",0.0384239471957888,-0.0551668368246258,0.471,0.466,1,0.00499999999999995,"MA1637.1","EBF3"
"MA0791.1",0.0388633254579738,-0.365498549599162,0.408,0.496,1,-0.088,"MA0791.1","POU4F3"
"MA0594.2",0.039341117249854,0.203814724258118,0.482,0.393,1,0.089,"MA0594.2","HOXA9"
"MA1502.1",0.0401320116856529,-0.25936608905245,0.423,0.479,1,-0.056,"MA1502.1","HOXB8"
"MA0507.1",0.0406425720899551,0.0974322462799613,0.165,0.201,1,-0.036,"MA0507.1","POU2F2"
"MA1503.1",0.0407703358593428,-0.521472944802164,0.305,0.397,1,-0.092,"MA1503.1","HOXB9"
"MA0757.1",0.0422614740529997,-0.44093922229606,0.368,0.466,1,-0.098,"MA0757.1","ONECUT3"
"MA0721.1",0.0424024957423569,0.278075393464904,0.504,0.487,1,0.017,"MA0721.1","UNCX"
"MA1604.1",0.0428038054061452,-0.0328870105227299,0.449,0.449,1,0,"MA1604.1","Ebf2"
"MA1121.1",0.0435403380808835,-0.128242182415119,0.739,0.765,1,-0.026,"MA1121.1","TEAD2"
"MA1470.1",0.0460654921821506,-0.375260641905736,0.471,0.556,1,-0.0850000000000001,"MA1470.1","BACH2(var.2)"
"MA0864.2",0.0479191297108692,-0.320735689442233,0.426,0.474,1,-0.048,"MA0864.2","E2F2"
"MA0675.1",0.0513143743195519,0.257696453365488,0.533,0.47,1,0.0630000000000001,"MA0675.1","NKX6-2"
"MA1542.1",0.0522427234507544,0.306068442531345,0.445,0.376,1,0.069,"MA1542.1","OSR1"
"MA0104.4",0.0530906157631799,-0.860197650806017,0.265,0.312,1,-0.047,"MA0104.4","MYCN"
