"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA0651.1",0.00406236657338353,-0.613404286349614,0.408,0.549,1,-0.141,"MA0651.1","HOXC11"
"MA1599.1",0.00408648873712124,0.389536951808619,0.803,0.672,1,0.131,"MA1599.1","ZNF682"
"MA0602.1",0.0042416877241905,0.734026432549242,0.566,0.344,1,0.222,"MA0602.1","Arid5a"
"MA0057.1",0.004426065783438,0.412109236871953,0.868,0.697,1,0.171,"MA0057.1","MZF1(var.2)"
"MA0661.1",0.00455107974280113,1.8550356936675,0.395,0.205,1,0.19,"MA0661.1","MEOX1"
"MA1544.1",0.00498118977110932,-1.11630670909808,0.25,0.418,1,-0.168,"MA1544.1","OVOL1"
"MA0030.1",0.00503109449866576,0.341219724831052,0.934,0.852,1,0.0820000000000001,"MA0030.1","FOXF2"
"MA0609.2",0.00506957927342028,-0.33739778975202,0.697,0.836,1,-0.139,"MA0609.2","CREM"
"MA1110.1",0.00523510787578903,-0.451136278384458,0.553,0.82,1,-0.267,"MA1110.1","NR1H4"
"MA1506.1",0.00555262239549879,-0.513833345247535,0.368,0.59,1,-0.222,"MA1506.1","HOXD10"
"MA0685.1",0.00556992981833682,1.07014556034058,0.382,0.197,1,0.185,"MA0685.1","SP4"
"MA0046.2",0.00564762294244381,-0.84156607618344,0.368,0.508,1,-0.14,"MA0046.2","HNF1A"
"MA0662.1",0.00572066488162007,1.56784126475891,0.329,0.205,1,0.124,"MA0662.1","MIXL1"
"MA0524.2",0.00576897536548332,0.325971161177522,0.855,0.779,1,0.076,"MA0524.2","TFAP2C"
"MA1122.1",0.00577729163371635,-0.644294679073802,0.355,0.484,1,-0.129,"MA1122.1","TFDP1"
"MA0006.1",0.0057872450015313,-1.58748369104263,0.211,0.336,1,-0.125,"MA0006.1","Ahr::Arnt"
"MA0908.1",0.00596322912815195,-0.779204844618118,0.289,0.41,1,-0.121,"MA0908.1","HOXD11"
"MA0636.1",0.00617965490913407,1.22020093719724,0.382,0.303,1,0.079,"MA0636.1","BHLHE41"
"MA0732.1",0.00620380147979169,-1.35933792546744,0.184,0.344,1,-0.16,"MA0732.1","EGR3"
"MA1571.1",0.00627705040827867,-0.779183469433487,0.329,0.459,1,-0.13,"MA1571.1","TGIF2LX"
"MA1588.1",0.00660699785328073,0.451272696175528,0.789,0.607,1,0.182,"MA1588.1","ZNF136"
"MA1105.2",0.00660965359632738,1.53351634638567,0.342,0.221,1,0.121,"MA1105.2","GRHL2"
"MA0658.1",0.00666643806395451,1.56706897570882,0.276,0.189,1,0.087,"MA0658.1","LHX6"
"MA0660.1",0.00670389681963704,0.404524607344512,0.974,0.926,1,0.0479999999999999,"MA0660.1","MEF2B"
"MA0775.1",0.00672873636948152,-0.765153769142381,0.355,0.434,1,-0.079,"MA0775.1","MEIS3"
"MA0647.1",0.00683336218503685,0.79422023330242,0.461,0.262,1,0.199,"MA0647.1","GRHL1"
"MA0811.1",0.00686374163121646,0.341932110352616,0.842,0.738,1,0.104,"MA0811.1","TFAP2B"
"MA1496.1",0.00728890332980767,-0.877653822446255,0.316,0.459,1,-0.143,"MA1496.1","HOXA4"
"MA0509.2",0.00778291855366395,-0.264735119597195,0.803,0.828,1,-0.0249999999999999,"MA0509.2","RFX1"
"MA1532.1",0.0078005525274594,-0.33869037748137,0.632,0.795,1,-0.163,"MA1532.1","NR1D2"
"MA1143.1",0.00810962259980747,-0.598202854396403,0.447,0.598,1,-0.151,"MA1143.1","FOSL1::JUND(var.2)"
"MA0032.2",0.00837813813316059,0.318736023166498,0.934,0.918,1,0.016,"MA0032.2","FOXC1"
"MA1127.1",0.00851964284207451,-0.337266221815558,0.671,0.82,1,-0.149,"MA1127.1","FOSB::JUN"
"MA1627.1",0.00869201089240698,0.338193535787941,0.816,0.615,1,0.201,"MA1627.1","Wt1"
"MA0776.1",0.00888664127042306,-1.73725763569508,0.184,0.352,1,-0.168,"MA0776.1","MYBL1"
"MA1102.2",0.00906685631184593,0.697355749991452,0.474,0.385,1,0.089,"MA1102.2","CTCFL"
"MA0853.1",0.00914911234737208,1.1774866937507,0.447,0.27,1,0.177,"MA0853.1","Alx4"
